watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,6,-71.5,-69,-74,5
31,RL,1,50,6,-72.1666666666667,-69,-76,7
31,RL,1,50,8,-72.125,-68,-75,7
31,RL,1,50,6,-72.8333333333333,-68,-75,7
31,RL,1,50,6,-73,-68,-77,9
31,RL,1,50,6,-73.3333333333333,-72,-75,3
31,RL,1,50,5,-72.6,-71,-76,5
31,RL,1,50,10,-72,-70,-76,6
31,RL,1,50,7,-71.4285714285714,-70,-74,4
31,RL,1,50,9,-73,-71,-76,5
31,RL,1,50,5,-72.4,-71,-75,4
31,RL,1,50,3,-72.6666666666667,-71,-75,4
31,RL,0,50,1,-75,-75,-75,0
31,RL,1,50,9,-73.3333333333333,-71,-77,6
31,RL,0,50,1,-74,-74,-74,0
31,RL,0,50,2,-74,-74,-74,0
31,RL,0,50,1,-74,-74,-74,0
31,RL,1,50,8,-72.125,-67,-78,11
31,RL,1,50,6,-72.1666666666667,-67,-78,11
31,RL,1,50,5,-73.6,-72,-75,3
31,RL,1,50,10,-73.7,-70,-76,6
31,RL,1,50,7,-73.4285714285714,-70,-76,6
31,RL,0,50,1,-70,-70,-70,0
31,RL,0,50,2,-72.5,-72,-73,1
31,RL,1,50,4,-73,-71,-75,4
31,RL,1,50,9,-73.3333333333333,-71,-76,5
31,RL,1,50,3,-72.6666666666667,-70,-74,4
31,RL,0,50,2,-73,-73,-73,0
31,RL,1,50,10,-72.4,-70,-77,7
31,RL,0,50,2,-73.5,-70,-77,7
31,RL,1,50,10,-72.3,-70,-74,4
31,RL,0,50,1,-73,-73,-73,0
31,RL,1,50,9,-72.2222222222222,-69,-77,8
31,RL,0,50,2,-72.5,-72,-73,1
31,RL,1,50,10,-73.5,-71,-79,8
31,RL,1,50,6,-75.5,-71,-78,7
31,RL,0,50,2,-73.5,-71,-76,5
31,RL,1,50,4,-75.75,-72,-84,12
31,RL,1,50,3,-72.3333333333333,-72,-73,1
31,RL,1,50,3,-72.6666666666667,-72,-74,2
31,RL,1,50,5,-74.4,-71,-77,6
31,RL,1,50,3,-73,-71,-74,3
31,RL,1,50,9,-73.6666666666667,-67,-82,15
31,LR,1,50,9,-61.1111111111111,-60,-63,3
31,LR,0,50,2,-60.5,-60,-61,1
31,LR,0,50,1,-61,-61,-61,0
31,LR,1,50,3,-60.6666666666667,-60,-62,2
31,LR,1,50,9,-60.7777777777778,-60,-62,2
31,LR,1,50,3,-61,-60,-62,2
31,LR,0,50,1,-60,-60,-60,0
31,LR,1,50,4,-62.25,-60,-63,3
31,LR,1,50,8,-62.25,-59,-63,4
31,LR,0,50,1,-61,-61,-61,0
31,LR,1,50,3,-63,-63,-63,0
31,LR,1,50,4,-62,-60,-63,3
31,LR,1,50,5,-61.6,-60,-63,3
31,LR,0,50,1,-60,-60,-60,0
31,LR,1,50,10,-61.3,-59,-62,3
31,LR,0,50,2,-61.5,-61,-62,1
31,LR,1,50,6,-61.1666666666667,-60,-63,3
31,LR,1,50,7,-61.1428571428571,-60,-62,2
31,LR,1,50,9,-60.6666666666667,-59,-62,3
31,LR,1,50,7,-60.2857142857143,-59,-62,3
31,LR,0,50,1,-60,-60,-60,0
31,LR,1,50,9,-63.2222222222222,-59,-66,7
31,LR,1,50,3,-62.6666666666667,-62,-64,2
31,LR,1,50,8,-62,-59,-64,5
31,LR,1,50,9,-62,-59,-64,5
31,LR,1,50,4,-60.25,-59,-62,3
