watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,7,-69.7142857142857,-68,-70,2
31,RL,1,50,6,-69.6666666666667,-68,-70,2
31,RL,1,50,4,-69.5,-68,-70,2
31,RL,1,50,6,-69.1666666666667,-67,-70,3
31,RL,1,50,3,-69.3333333333333,-68,-70,2
31,RL,0,50,2,-70,-70,-70,0
31,RL,1,50,8,-68.625,-67,-70,3
31,RL,0,50,2,-68.5,-67,-70,3
31,RL,1,50,5,-68.2,-67,-69,2
31,RL,1,50,3,-68.3333333333333,-68,-69,1
31,RL,0,50,1,-68,-68,-68,0
31,RL,0,50,1,-69,-69,-69,0
31,RL,1,50,5,-69.4,-68,-71,3
31,RL,1,50,9,-69.5555555555556,-68,-71,3
31,RL,1,50,10,-70,-68,-72,4
31,RL,0,50,2,-70,-70,-70,0
31,RL,1,50,3,-69,-68,-70,2
31,RL,0,50,2,-72,-72,-72,0
31,RL,1,50,3,-68.6666666666667,-67,-72,5
31,RL,1,50,6,-67.8333333333333,-67,-70,3
31,RL,1,50,9,-68.6666666666667,-67,-71,4
31,RL,1,50,4,-69,-67,-70,3
31,RL,1,50,8,-69.125,-67,-71,4
31,RL,1,50,6,-69.6666666666667,-67,-71,4
31,RL,0,50,1,-71,-71,-71,0
31,RL,1,50,7,-68.2857142857143,-67,-70,3
31,RL,0,50,2,-68.5,-67,-70,3
31,RL,0,50,1,-67,-67,-67,0
31,RL,1,50,6,-68,-66,-70,4
31,RL,1,50,3,-67.3333333333333,-66,-69,3
31,RL,1,50,9,-68,-66,-72,6
31,RL,1,50,7,-68.2857142857143,-66,-72,6
31,RL,0,50,1,-68,-68,-68,0
31,RL,1,50,5,-68.8,-67,-72,5
31,RL,0,50,2,-68.5,-67,-70,3
31,RL,0,50,2,-69.5,-67,-72,5
31,RL,1,50,4,-67.25,-67,-68,1
31,RL,1,50,5,-67.8,-67,-69,2
31,RL,0,50,1,-69,-69,-69,0
31,RL,1,50,10,-67.4,-66,-69,3
31,RL,1,50,9,-67.3333333333333,-66,-69,3
31,RL,1,50,8,-67.625,-66,-69,3
31,RL,0,50,2,-68.5,-68,-69,1
31,RL,1,50,5,-67.8,-67,-69,2
31,RL,1,50,7,-67.8571428571429,-67,-70,3
31,RL,1,50,5,-68.2,-67,-70,3
31,RL,1,50,5,-68,-67,-70,3
31,RL,0,50,1,-70,-70,-70,0
31,RL,0,50,1,-67,-67,-67,0
31,RL,1,50,9,-67.5555555555556,-66,-70,4
31,RL,1,50,7,-68,-67,-70,3
31,RL,1,50,10,-67.5,-66,-70,4
31,RL,0,50,1,-69,-69,-69,0
31,RL,0,50,2,-67,-67,-67,0
31,RL,1,50,5,-66.8,-66,-68,2
31,RL,1,50,7,-67.2857142857143,-65,-70,5
31,RL,1,50,4,-68,-66,-70,4
31,RL,1,50,5,-67.8,-65,-70,5
31,RL,0,50,2,-69,-68,-70,2
31,RL,1,50,9,-67.5555555555556,-65,-70,5
31,RL,1,50,10,-67.7,-65,-70,5
31,RL,0,50,1,-65,-65,-65,0
31,RL,1,50,6,-68.3333333333333,-67,-70,3
31,RL,1,50,4,-68.25,-67,-70,3
31,RL,0,50,2,-69,-68,-70,2
31,RL,1,50,6,-68,-66,-70,4
31,RL,1,50,7,-68,-66,-72,6
31,RL,0,50,2,-67,-66,-68,2
31,RL,1,50,7,-67.5714285714286,-66,-72,6
31,RL,1,50,10,-67.7,-66,-72,6
31,RL,1,50,9,-67.6666666666667,-66,-72,6
31,RL,1,50,6,-67.6666666666667,-66,-72,6
31,RL,1,50,8,-67.25,-66,-69,3
31,RL,1,50,10,-67.4,-66,-70,4
31,RL,1,50,9,-67.2222222222222,-66,-70,4
31,RL,1,50,9,-67.4444444444444,-66,-70,4
31,RL,1,50,9,-67.7777777777778,-66,-70,4
31,RL,1,50,3,-67.3333333333333,-66,-70,4
31,RL,1,50,8,-68.125,-66,-70,4
31,RL,1,50,5,-68.4,-67,-70,3
31,RL,1,50,4,-68,-67,-70,3
