watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,6,-70,-73,-69,-69,-71,-68,,,,,-70,1.78885438199983,-68,-73,5
31,RL,1,50,3,-73,-69,-69,,,,,,,,-70.3333333333333,2.3094010767585,-69,-73,4
31,RL,1,50,5,-69,-69,-71,-68,-67,,,,,,-68.8,1.48323969741913,-67,-71,4
31,RL,1,50,7,-69,-71,-68,-67,-73,-69,-72,,,,-69.8571428571429,2.19306265517513,-67,-73,6
31,RL,0,50,2,-71,-68,,,,,,,,,-69.5,2.12132034355964,-68,-71,3
31,RL,1,50,5,-67,-73,-69,-72,-72,,,,,,-70.6,2.50998007960223,-67,-73,6
31,RL,1,50,7,-73,-69,-72,-72,-72,-72,-72,,,,-71.7142857142857,1.25356634105602,-69,-73,4
31,RL,1,50,5,-69,-72,-72,-72,-72,,,,,,-71.4,1.34164078649987,-69,-72,3
31,RL,1,50,10,-72,-72,-72,-72,-72,-68,-69,-66,-71,-71,-70.5,2.12132034355964,-66,-72,6
31,RL,1,50,8,-72,-72,-72,-72,-68,-69,-66,-71,,,-70.25,2.31455024943138,-66,-72,6
31,RL,0,50,1,-72,,,,,,,,,,-72,0,-72,-72,0
31,RL,1,50,10,-72,-72,-68,-69,-66,-71,-71,-70,-70,-70,-69.9,1.85292561462497,-66,-72,6
31,RL,0,50,2,-72,-68,,,,,,,,,-70,2.82842712474619,-68,-72,4
31,RL,1,50,5,-68,-69,-66,-71,-71,,,,,,-69,2.12132034355964,-66,-71,5
31,RL,1,50,8,-66,-71,-71,-70,-70,-70,-72,-73,,,-70.375,2.0658792662828,-66,-73,7
31,RL,1,50,10,-71,-71,-70,-70,-70,-72,-73,-71,-67,-67,-70.2,1.93218356615859,-67,-73,6
31,RL,1,50,7,-71,-70,-70,-70,-72,-73,-71,,,,-71,1.15470053837925,-70,-73,3
31,RL,1,50,5,-70,-70,-70,-72,-73,,,,,,-71,1.4142135623731,-70,-73,3
31,RL,0,50,1,-70,,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,5,-72,-73,-71,-67,-67,,,,,,-70,2.82842712474619,-67,-73,6
31,RL,1,50,9,-71,-67,-67,-66,-70,-70,-69,-69,-70,,-68.7777777777778,1.71593835683117,-66,-71,5
31,RL,1,50,6,-67,-67,-66,-70,-70,-69,,,,,-68.1666666666667,1.72240142436851,-66,-70,4
31,RL,1,50,3,-67,-66,-70,,,,,,,,-67.6666666666667,2.08166599946613,-66,-70,4
31,RL,1,50,5,-66,-70,-70,-69,-69,,,,,,-68.8,1.6431676725155,-66,-70,4
31,RL,1,50,7,-69,-70,-69,-70,-70,-67,-67,,,,-68.8571428571429,1.3451854182691,-67,-70,3
31,RL,1,50,5,-70,-69,-70,-70,-67,,,,,,-69.2,1.30384048104053,-67,-70,3
31,RL,1,50,8,-69,-70,-70,-67,-67,-67,-68,-70,,,-68.5,1.4142135623731,-67,-70,3
31,RL,1,50,9,-70,-70,-67,-67,-67,-68,-70,-67,-68,,-68.2222222222222,1.39443337755679,-67,-70,3
31,RL,1,50,3,-70,-67,-67,,,,,,,,-68,1.73205080756888,-67,-70,3
31,RL,0,50,2,-67,-67,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,8,-67,-68,-70,-67,-68,-68,-67,-67,,,-67.75,1.03509833901353,-67,-70,3
31,RL,0,50,1,-68,,,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,5,-70,-67,-68,-68,-67,,,,,,-68,1.22474487139159,-67,-70,3
31,RL,1,50,3,-67,-68,-68,,,,,,,,-67.6666666666667,0.577350269189626,-67,-68,1
31,RL,1,50,8,-68,-68,-67,-67,-66,-66,-67,-69,,,-67.25,1.03509833901353,-66,-69,3
31,RL,1,50,9,-68,-67,-67,-66,-66,-67,-69,-68,-70,,-67.5555555555556,1.33333333333333,-66,-70,4
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,7,-67,-66,-66,-67,-69,-68,-70,,,,-67.5714285714286,1.51185789203691,-66,-70,4
