watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,9,-67,-66,-66,-68,-68,-70,-68,-65,-65,,-67,1.6583123951777,-65,-70,5
31,RL,1,50,5,-70,-68,-65,-65,-67,,,,,,-67,2.12132034355964,-65,-70,5
31,RL,1,50,7,-70,-70,-69,-66,-68,-68,-67,,,,-68.2857142857143,1.49602648308619,-66,-70,4
31,RL,1,50,7,-70,-69,-66,-68,-68,-67,-72,,,,-68.5714285714286,1.98805959477601,-66,-72,6
31,RL,1,50,8,-68,-66,-66,-68,-66,-66,-70,-70,,,-67.5,1.77281052085584,-66,-70,4
31,RL,1,50,10,-66,-66,-68,-66,-66,-70,-70,-67,-67,-68,-67.4,1.57762127549323,-66,-70,4
31,RL,1,50,5,-66,-68,-66,-66,-70,,,,,,-67.2,1.78885438199983,-66,-70,4
31,RL,1,50,6,-68,-66,-66,-70,-70,-67,,,,,-67.8333333333333,1.83484785926972,-66,-70,4
31,RL,1,50,4,-68,-68,-69,-69,,,,,,,-68.5,0.577350269189626,-68,-69,1
31,RL,1,50,7,-67,-68,-73,-73,-76,-67,-70,,,,-70.5714285714286,3.50509832753866,-67,-76,9
31,RL,1,50,5,-68,-68,-68,-68,-69,,,,,,-68.2,0.447213595499958,-68,-69,1
31,RL,1,50,10,-69,-66,-66,-65,-65,-68,-69,-68,-68,-68,-67.2,1.54919333848297,-65,-69,4
31,RL,0,50,2,-66,-66,,,,,,,,,-66,0,-66,-66,0
31,RL,1,50,8,-65,-65,-68,-69,-68,-68,-68,-66,,,-67.125,1.5526475085203,-65,-69,4
31,RL,1,50,10,-65,-68,-69,-68,-68,-68,-66,-66,-66,-65,-66.9,1.44913767461894,-65,-69,4
31,RL,1,50,9,-68,-69,-68,-68,-68,-66,-66,-66,-65,,-67.1111111111111,1.36422546197874,-65,-69,4
31,RL,1,50,3,-69,-68,-68,,,,,,,,-68.3333333333333,0.577350269189626,-68,-69,1
31,RL,1,50,3,-66,-66,-65,,,,,,,,-65.6666666666667,0.577350269189626,-65,-66,1
31,RL,1,50,6,-63,-66,-70,-68,-69,-65,,,,,-66.8333333333333,2.63944438597722,-63,-70,7
31,RL,1,50,3,-66,-70,-68,,,,,,,,-68,2,-66,-70,4
31,RL,1,50,5,-71,-66,-63,-63,-67,,,,,,-66,3.3166247903554,-63,-71,8
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,10,-65,-65,-66,-69,-70,-70,-68,-67,-69,-69,-67.8,1.93218356615859,-65,-70,5
31,RL,1,50,4,-65,-66,-69,-70,,,,,,,-67.5,2.38047614284762,-65,-70,5
31,RL,1,50,8,-70,-70,-68,-67,-69,-69,-66,-67,,,-68.25,1.48804761828569,-66,-70,4
31,RL,1,50,10,-69,-69,-66,-67,-66,-66,-66,-66,-66,-67,-66.8,1.22927259430572,-66,-69,3
31,RL,0,50,2,-69,-66,,,,,,,,,-67.5,2.12132034355964,-66,-69,3
31,RL,0,50,1,-66,,,,,,,,,,-66,0,-66,-66,0
31,RL,1,50,9,-67,-66,-66,-66,-66,-66,-67,-68,-66,,-66.4444444444444,0.726483157256779,-66,-68,2
31,RL,1,50,5,-66,-66,-66,-66,-67,,,,,,-66.2,0.447213595499958,-66,-67,1
31,RL,1,50,4,-66,-67,-68,-66,,,,,,,-66.75,0.957427107756338,-66,-68,2
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,0,50,1,-65,,,,,,,,,,-65,0,-65,-65,0
31,RL,1,50,10,-66,-66,-67,-68,-66,-66,-63,-64,-63,-64,-65.3,1.70293863659264,-63,-68,5
31,RL,0,50,1,-66,,,,,,,,,,-66,0,-66,-66,0
31,RL,1,50,5,-67,-68,-69,-73,-66,,,,,,-68.6,2.70185121722126,-66,-73,7
31,RL,1,50,3,-68,-69,-73,,,,,,,,-70,2.64575131106459,-68,-73,5
31,RL,1,50,7,-66,-66,-66,-73,-73,-76,-67,,,,-69.5714285714286,4.27617987059879,-66,-76,10
31,RL,1,50,8,-73,-76,-67,-66,-69,-73,-72,-82,,,-72.25,5.17549169506766,-66,-82,16
31,RL,0,50,1,-75,,,,,,,,,,-75,0,-75,-75,0
31,RL,1,50,3,-68,-72,-70,,,,,,,,-70,2,-68,-72,4
31,RL,1,50,10,-67,-71,-68,-68,-68,-67,-67,-69,-67,-68,-68,1.24721912892465,-67,-71,4
31,RL,1,50,9,-67,-67,-69,-67,-68,-72,-70,-68,-70,,-68.6666666666667,1.73205080756888,-67,-72,5
31,RL,0,50,1,-70,,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,8,-68,-70,-70,-72,-73,-72,-71,-70,,,-70.75,1.58113883008419,-68,-73,5
31,RL,1,50,5,-70,-72,-73,-72,-71,,,,,,-71.6,1.14017542509914,-70,-73,3
31,RL,1,50,8,-72,-71,-70,-87,-77,-78,-88,-93,,,-79.5,8.76682056718072,-70,-93,23
31,RL,1,50,7,-93,-83,-75,-83,-73,-75,-75,,,,-79.5714285714286,7.18463970001611,-73,-93,20
31,RL,0,50,2,-83,-75,,,,,,,,,-79,5.65685424949238,-75,-83,8
31,RL,1,50,8,-75,-72,-71,-79,-75,-71,-71,-74,,,-73.5,2.82842712474619,-71,-79,8
31,RL,1,50,4,-71,-79,-75,-71,,,,,,,-74,3.82970843102535,-71,-79,8
31,RL,1,50,8,-71,-71,-74,-70,-72,-75,-69,-71,,,-71.625,1.99553072067128,-69,-75,6
31,RL,1,50,9,-74,-70,-72,-75,-69,-71,-68,-72,-67,,-70.8888888888889,2.66666666666667,-67,-75,8
31,RL,1,50,4,-71,-68,-72,-67,,,,,,,-69.5,2.38047614284762,-67,-72,5
31,RL,1,50,7,-72,-72,-72,-69,-71,-68,-69,,,,-70.4285714285714,1.71824938596845,-68,-72,4
31,RL,0,50,1,-69,,,,,,,,,,-69,0,-69,-69,0
31,RL,1,50,3,-69,-66,-69,,,,,,,,-68,1.73205080756888,-66,-69,3
31,RL,1,50,6,-69,-72,-69,-67,-67,-66,,,,,-68.3333333333333,2.16024689946929,-66,-72,6
31,RL,1,50,6,-67,-66,-72,-68,-74,-71,,,,,-69.6666666666667,3.14112506383727,-66,-74,8
31,RL,0,50,2,-72,-68,,,,,,,,,-70,2.82842712474619,-68,-72,4
31,RL,1,50,6,-70,-68,-70,-70,-70,-70,,,,,-69.6666666666667,0.816496580927726,-68,-70,2
31,RL,1,50,5,-70,-70,-75,-73,-74,,,,,,-72.4,2.30217288664427,-70,-75,5
31,RL,0,50,1,-77,,,,,,,,,,-77,0,-77,-77,0
31,RL,1,50,5,-76,-76,-84,-86,-78,,,,,,-80,4.69041575982343,-76,-86,10
31,RL,0,50,2,-76,-84,,,,,,,,,-80,5.65685424949238,-76,-84,8
31,RL,1,50,7,-86,-78,-79,-79,-78,-81,-80,,,,-80.1428571428571,2.79455252402309,-78,-86,8
31,RL,1,50,8,-78,-79,-79,-78,-81,-80,-82,-73,,,-78.75,2.71240536372107,-73,-82,9
31,RL,1,50,8,-79,-78,-81,-80,-82,-73,-74,-75,,,-77.75,3.37003603202441,-73,-82,9
31,RL,1,50,3,-78,-81,-80,,,,,,,,-79.6666666666667,1.52752523165195,-78,-81,3
31,RL,0,50,2,-74,-75,,,,,,,,,-74.5,0.707106781186548,-74,-75,1
31,RL,1,50,4,-75,-76,-75,-74,,,,,,,-75,0.816496580927726,-74,-76,2
31,RL,1,50,9,-75,-75,-75,-76,-79,-79,-72,-74,-72,,-75.2222222222222,2.53859103528797,-72,-79,7
31,RL,1,50,10,-79,-79,-72,-74,-72,-75,-75,-72,-72,-73,-74.3,2.75075747143703,-72,-79,7
31,RL,1,50,9,-79,-72,-74,-72,-75,-75,-72,-72,-73,,-73.7777777777778,2.33333333333333,-72,-79,7
31,RL,1,50,7,-75,-72,-72,-73,-73,-82,-73,,,,-74.2857142857143,3.54562104171167,-72,-82,10
31,RL,1,50,6,-73,-82,-73,-74,-83,-75,,,,,-76.6666666666667,4.5898438608156,-73,-83,10
31,RL,0,50,2,-77,-87,,,,,,,,,-82,7.07106781186548,-77,-87,10
31,RL,0,50,1,-71,,,,,,,,,,-71,0,-71,-71,0
31,RL,1,50,9,-72,-69,-67,-72,-72,-72,-68,-75,-72,,-71,2.5,-67,-75,8
31,RL,1,50,6,-75,-72,-76,-71,-70,-73,,,,,-72.8333333333333,2.31660671385254,-70,-76,6
31,RL,1,50,10,-70,-73,-74,-73,-74,-69,-76,-73,-69,-69,-72,2.53859103528797,-69,-76,7
31,RL,0,50,1,-69,,,,,,,,,,-69,0,-69,-69,0
31,RL,1,50,9,-79,-72,-74,-69,-72,-71,-70,-71,-71,,-72.1111111111111,2.93446947694317,-69,-79,10
31,RL,1,50,3,-72,-74,-69,,,,,,,,-71.6666666666667,2.51661147842358,-69,-74,5
31,RL,1,50,6,-71,-71,-72,-69,-69,-69,,,,,-70.1666666666667,1.32916013582513,-69,-72,3
31,RL,1,50,8,-69,-69,-69,-74,-73,-74,-70,-74,,,-71.5,2.44948974278318,-69,-74,5
31,RL,0,50,2,-72,-72,,,,,,,,,-72,0,-72,-72,0
31,RL,0,50,1,-74,,,,,,,,,,-74,0,-74,-74,0
31,RL,1,50,10,-72,-72,-76,-74,-74,-73,-73,-71,-75,-75,-73.5,1.58113883008419,-71,-76,5
31,RL,1,50,10,-72,-76,-74,-74,-73,-73,-71,-75,-75,-71,-73.4,1.71269767715535,-71,-76,5
31,RL,1,50,8,-72,-73,-75,-74,-74,-72,-72,-70,,,-72.75,1.58113883008419,-70,-75,5
31,RL,1,50,4,-72,-72,-71,-76,,,,,,,-72.75,2.21735578260835,-71,-76,5
31,RL,0,50,1,-76,,,,,,,,,,-76,0,-76,-76,0
